Respondent_ID,Age,Gender,Background,Domestication,PetVaccination,DogBite,Death,DogSpread,Transmission,PreventableVaccination,Campaign,SelfVaccination,PreVaccination,PostVaccination,Signs,Rabid,Doctor,Facilities,Affected,AffordableVaccination,PreferVaccination
Respondent893,2,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1
Respondent894,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1
Respondent895,2,1,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2
Respondent896,2,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2
Respondent898,2,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2
Respondent899,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
Respondent900,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
Respondent901,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1
Respondent902,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1
Respondent903,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1
Respondent904,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2
Respondent905,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1
Respondent907,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1
Respondent908,2,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,2
Respondent913,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1
Respondent915,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1
Respondent916,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1
Respondent917,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1
Respondent918,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1
Respondent919,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1
Respondent920,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1
Respondent921,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1
Respondent922,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1
Respondent923,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1
Respondent924,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,1
Respondent925,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1
Respondent926,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1
Respondent927,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1
Respondent928,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1
Respondent929,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1
Respondent930,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1
Respondent931,2,1,2,1,2,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1
Respondent932,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1
Respondent933,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1
Respondent934,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1
Respondent935,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2
Respondent936,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1
Respondent937,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1
Respondent938,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1
Respondent939,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1
Respondent940,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1
Respondent941,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1
Respondent942,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,2
Respondent943,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,1
Respondent944,2,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1
Respondent945,2,1,2,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1
Respondent946,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1
Respondent947,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1
Respondent948,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1
Respondent949,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
Respondent950,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,2
Respondent951,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1
Respondent952,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1
Respondent953,2,1,1,2,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1
Respondent955,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1
Respondent956,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1
Respondent957,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1
Respondent963,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1,1
Respondent964,2,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1
Respondent965,2,1,2,2,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1
Respondent969,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1
Respondent970,2,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1
Respondent971,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,1
Respondent973,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1
Respondent974,2,1,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2
Respondent975,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1
Respondent981,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1
Respondent982,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1
Respondent983,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1
Respondent984,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1
Respondent998,2,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1,2
Respondent999,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1
Respondent1000,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1
Respondent1003,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1
Respondent1004,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1
Respondent1005,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,2
Respondent1006,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1
Respondent1008,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,1,2,1
Respondent1009,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1010,2,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2
Respondent1011,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,1
Respondent1012,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1
Respondent1013,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,1,1
Respondent1014,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1
Respondent1015,2,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,1
Respondent1016,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1
Respondent1017,2,1,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,1
Respondent1018,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,2
Respondent1019,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2
Respondent1020,2,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
Respondent1022,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1
Respondent1023,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1024,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1
Respondent1025,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Respondent1026,2,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,2,1,2
Respondent1027,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1
Respondent1030,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1
Respondent1035,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,1
Respondent1036,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1
Respondent1037,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1
Respondent1038,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1
Respondent1039,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Respondent1040,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Respondent1041,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1
Respondent1043,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,1
Respondent1044,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Respondent1045,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1
Respondent1046,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1
Respondent1047,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1
Respondent1048,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2
Respondent1053,2,1,1,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2
Respondent1056,2,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1
Respondent1057,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1
Respondent1058,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2,2,1
Respondent1060,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1
Respondent1065,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1066,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1073,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1
Respondent1074,2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1
Respondent1075,2,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,1
Respondent1076,2,1,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,1
Respondent1079,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1080,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1081,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1
Respondent1082,2,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1
Respondent1083,2,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1
Respondent1084,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1
Respondent1085,2,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
Respondent1086,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1087,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1
Respondent1088,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1
Respondent1089,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1090,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1
Respondent1091,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1092,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1093,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1
Respondent1094,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1095,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1
Respondent1096,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1097,2,1,2,1,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1
Respondent1099,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2
Respondent1100,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1
Respondent1101,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1102,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1
Respondent1103,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
Respondent1104,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1
Respondent1105,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1
Respondent1106,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1107,2,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1
Respondent1108,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Respondent1109,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,1
Respondent1110,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
Respondent1111,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1112,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1113,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1114,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1115,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1
Respondent1116,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1
Respondent1117,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1
Respondent1118,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,1,2,1
Respondent1119,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1
Respondent1122,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1123,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1
Respondent1124,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1125,2,1,2,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,1
Respondent1127,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1128,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1
Respondent1129,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,1,1,1
Respondent1130,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1
Respondent1131,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1
Respondent1132,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2,1,1
Respondent1133,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1
Respondent1134,2,1,1,1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1
Respondent1135,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1136,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1137,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1138,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2
Respondent1139,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1
Respondent1142,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1
Respondent1143,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2
Respondent1144,2,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1
Respondent1145,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,1
Respondent1147,2,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,2
Respondent1148,3,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1
Respondent1149,3,1,2,1,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1
Respondent1150,3,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1
Respondent1151,3,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1
Respondent1152,3,1,2,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2
Respondent1337,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2
Respondent1339,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
Respondent1340,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1341,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,1
Respondent1342,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1
Respondent1344,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1
Respondent1345,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1
Respondent1346,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,2
Respondent1347,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1
Respondent1348,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2
Respondent1350,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2
Respondent1351,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,1,1
Respondent1352,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,2,1,2
Respondent1353,2,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1
Respondent1354,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1
Respondent1355,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
Respondent1356,2,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1
Respondent1357,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,1,2,2
Respondent1358,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1
Respondent1361,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,1,1,1,2
Respondent1362,2,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,2
Respondent1363,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,2
Respondent1366,2,1,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,1
Respondent1369,2,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,2
Respondent1370,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent1371,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1
Respondent1372,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1
Respondent1373,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1
Respondent1374,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1
Respondent1375,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1
Respondent1377,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2
Respondent1378,2,1,2,2,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2
Respondent1380,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1
Respondent1382,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1
Respondent1386,2,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1
Respondent1389,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2
Respondent1390,2,1,1,1,1,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,2
Respondent1391,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1392,2,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2
Respondent1393,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2
Respondent1394,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1
Respondent1395,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Respondent1396,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2
Respondent1397,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1
Respondent1398,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1
Respondent1399,2,1,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1
Respondent1400,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2
Respondent1401,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1
Respondent1402,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1
